RIJ;Lovran;27,09;96,76;122,56;01.01.2020;26.09.2023;-
RIJ;Krk ;21,29;83,86;96,76;01.01.2020;26.09.2023;-
RIJ;Malinska;21,29;64,51;90,31;01.01.2020;26.09.2023;-
RIJ;Baska;24,51;90,31;122,56;01.01.2020;26.09.2023;-
RIJ;Vrbnik;21,29;83,86;96,76;01.01.2020;26.09.2023;-
RIJ;Njivice;21,29;51,61;77,41;01.01.2020;26.09.2023;-
RIJ;Opatija;27,00;101,00;130,00;27.09.2023;31.12.2025;-
RIJ;Lovran;32,00;109,00;137,00;27.09.2023;31.12.2025;-
RIJ;Krk ;25,00;95,00;109,00;27.09.2023;31.12.2025;-
RIJ;Malinska;25,00;73,00;101,00;27.09.2023;31.12.2025;-
RIJ;Baska;27,00;102,00;139,00;27.09.2023;31.12.2025;-
RIJ;Vrbnik;25,00;95,00;109,00;27.09.2023;31.12.2025;-
RIJ;Njivice;25,00;59,00;89,00;27.09.2023;31.12.2025;-
